Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
330100,N Y EYE AND EAR INFIRMARY,230 SECOND AVE,NEW YORK,NY,"AAA10003",NEW YORK,(212) 979-4000,Acute Care Hospitals,Voluntary non-profit - Private,false,true,NULL,16,NULL,16,NULL,5,NULL,16,NULL,16,NULL,5,NULL,16,NULL,16,POINT (-73.984816 40.732559)
520206,AURORA MEDICAL CENTER SUMMIT,36500 AURORA DRIVE,SUMMIT,WI,"AAA53066",WAUKESHA,(262) 434-1000,Acute Care Hospitals,Voluntary non-profit - Private,true,true,4,NULL,0,NULL,0,NULL,0,NULL,1,NULL,0,NULL,1,NULL,0,NULL,POINT (-88.467732 43.063611)
200018,NORTHERN LIGHT A R GOULD HOSPITAL,PO BOX 151,PRESQUE ISLE,ME,"AAA04769",AROOSTOOK,(207) 768-4000,Acute Care Hospitals,Voluntary non-profit - Private,true,true,2,NULL,0,NULL,-1,NULL,-1,NULL,-1,NULL,0,NULL,0,NULL,0,NULL
074011,CONNECTICUT MENTAL HEALTH CENTER,34 PARK STREET,NEW HAVEN,CT,"AAA06508",NEW HAVEN,(203) 974-3000,Psychiatric,Government - State,false,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-72.936197 41.305287)
510047,FAIRMONT REGIONAL MEDICAL CENTER,1325 LOCUST AVENUE,FAIRMONT,WV,"AAA26554",MARION,(304) 367-7100,Acute Care Hospitals,Voluntary non-profit - Private,true,true,2,NULL,0,NULL,-1,NULL,0,NULL,-1,NULL,0,NULL,1,NULL,-1,NULL,POINT (-80.164069 39.480876)
140172,FRANCISCAN HEALTH OLYMPIA & CHICAGO HEIGHTS,20201 S CRAWFORD AVENUE,OLYMPIA FIELDS,IL,"AAA60461",COOK,(708) 747-4000,Acute Care Hospitals,Voluntary non-profit - Church,true,true,1,NULL,1,NULL,-1,NULL,-1,NULL,-1,NULL,0,NULL,-1,NULL,0,NULL
520089,UNITYPOINT HEALTH - MERITER,202 S PARK ST,MADISON,WI,"AAA53715",DANE,(608) 417-6000,Acute Care Hospitals,Voluntary non-profit - Private,true,true,5,NULL,1,NULL,1,NULL,1,NULL,1,NULL,0,NULL,1,NULL,0,NULL,POINT (-89.400896 43.065385)
450675,MEDICAL CITY ARLINGTON,3301 MATLOCK ROAD,ARLINGTON,TX,"AAA76015",TARRANT,(817) 465-3241,Acute Care Hospitals,Proprietary,true,true,3,NULL,0,NULL,1,NULL,-1,NULL,-1,NULL,0,NULL,0,NULL,0,NULL,POINT (-97.1148 32.691751)
670053,ST LUKE'S SUGAR LAND HOSPITAL,1317 LAKE POINTE PARKWAY,SUGAR LAND,TX,"AAA77478",FORT BEND,(281) 637-7000,Acute Care Hospitals,Voluntary non-profit - Private,true,true,3,NULL,0,NULL,0,NULL,0,NULL,-1,NULL,0,NULL,-1,NULL,0,NULL,POINT (-95.621328 29.60496)
501331,PULLMAN REGIONAL HOSPITAL,835 S BISHOP BLVD,PULLMAN,WA,NULL163,WHITMAN,(509) 332-2541,Critical Access Hospitals,Government - Hospital District or Authority,true,true,4,NULL,0,NULL,NULL,5,0,NULL,1,NULL,NULL,5,1,NULL,0,NULL,POINT (-117.169846 46.713462)
050149,CALIFORNIA HOSPITAL MEDICAL CENTER LA,1401 SOUTH GRAND AVENUE,LOS ANGELES,CA,"AAA90015",LOS ANGELES,(213) 748-2411,Acute Care Hospitals,Voluntary non-profit - Other,true,true,3,NULL,0,NULL,0,NULL,0,NULL,-1,NULL,0,NULL,-1,NULL,NULL,5,POINT (-118.265363 34.037212)
3901NULL,PUNXSUTAWNEY AREA HOSPITAL,81 HILLCREST DRIVE,PUNXSUTAWNEY,PA,"AAA15767",JEFFERSON,(814) 938-1800,Acute Care Hospitals,Voluntary non-profit - Private,true,true,4,NULL,0,NULL,NULL,5,0,NULL,1,NULL,0,NULL,1,NULL,0,NULL,POINT (-79.000359 40.960153)
19050F,Bayne-Jones ACH (Ft Polk),1585 3rd Street Fort Polk,Fort Polk,LA,"AAA71459",VERNON,(337) 531-3118,Acute Care - Department of Defense,Department of Defense,true,NULL,NULL,22,NULL,22,NULL,22,NULL,22,NULL,22,NULL,22,NULL,22,NULL,22,POINT (-93.216195 31.063232)
520028,THE MONROE CLINIC,2005 5TH STREET,MONROE,WI,"AAA53566",GREEN,(608) 324-1000,Acute Care Hospitals,Voluntary non-profit - Private,true,true,5,NULL,0,NULL,1,NULL,1,NULL,1,NULL,-1,NULL,1,NULL,0,NULL,POINT (-89.634574 42.607807)
334012,GREATER BINGHAMTON HEALTH CENTER,425 ROBINSON ST,BINGHAMTON,NY,"AAA13901",BROOME,(607) 724-1391,Psychiatric,Government - Local,true,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-75.866583 42.107984)
150018,ELKHART GENERAL HOSPITAL,600 E BLVD,ELKHART,IN,"AAA46514",ELKHART,(574) 294-2621,Acute Care Hospitals,Government - Local,true,true,4,NULL,-1,NULL,-1,NULL,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,POINT (-85.NULL1833 41.678761)
180116,JACKSON PURCHASE MEDICAL CENTER,10NULL MEDICAL CENTER CIRCLE,MAYFIELD,KY,"AAA42066",GRAVES,(270) 251-4585,Acute Care Hospitals,Government - Hospital District or Authority,true,true,3,NULL,0,NULL,1,NULL,-1,NULL,0,NULL,0,NULL,1,NULL,0,NULL,POINT (-88.650981 36.757411)
161370,LORING HOSPITAL,211 HIGHLAND AVENUE PO BOX 217,SAC CITY,IA,"AAA50583",SAC,(712) 662-7105,Critical Access Hospitals,Voluntary non-profit - Private,true,true,4,NULL,NULL,5,NULL,16,1,NULL,NULL,16,NULL,5,1,NULL,0,NULL,POINT (-94.977NULL1 42.418706)
194084,"BEACON BEHAVIORAL HOSPITAL- NEW ORLEANS, INC",14500 HAYNES BLVD,NEW ORLEANS,LA,"AAA70128",ORLEANS,(504) 210-0460,Psychiatric,Proprietary,false,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-89.949096 30.071445)
171311,ROOKS COUNTY HEALTH CENTER,1210 NORTH WASHINGTON,PLAINVILLE,KS,"AAA67663",ROOKS,(785) 434-4553,Critical Access Hospitals,Government - Hospital District or Authority,true,NULL,NULL,16,NULL,5,NULL,5,0,NULL,NULL,16,NULL,5,1,NULL,NULL,5,POINT (-NULL.298203 39.247967)
394050,ROXBURY TREATMENT CENTER,601 ROXBURY ROAD,SHIPPENSBURG,PA,"AAA17257",CUMBERLAND,(717) 532-4217,Psychiatric,Proprietary,false,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-77.538185 40.054045)
441313,HANCOCK COUNTY HOSPITAL,1519 MAIN STREET HWY 33,SNEEDVILLE,TN,"AAA37869",HANCOCK,(423) 733-5001,Critical Access Hospitals,Voluntary non-profit - Private,true,true,NULL,16,NULL,5,NULL,16,NULL,5,NULL,16,NULL,5,NULL,5,NULL,5,POINT (-83.462766 36.430266)
260216,SAINT LUKE'S EAST HOSPITAL,100 N E SAINT LUKE'S BOULEVARD,LEES SUMMIT,MO,"AAA64086",JACKSON,(816) 347-5000,Acute Care Hospitals,Voluntary non-profit - Private,true,true,4,NULL,1,NULL,1,NULL,-1,NULL,1,NULL,0,NULL,0,NULL,0,NULL,POINT (-94.378443 38.940551)
040007,CHI-ST VINCENT INFIRMARY,TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,"AAA72205",PULASKI,(501) 552-3000,Acute Care Hospitals,Voluntary non-profit - Private,true,true,1,NULL,0,NULL,-1,NULL,-1,NULL,-1,NULL,0,NULL,-1,NULL,0,NULL
050125,REGIONAL MEDICAL CENTER OF SAN JOSE,225 N JACKSON AVENUE,SAN JOSE,CA,"AAA95116",SANTA CLARA,(408) 259-5000,Acute Care Hospitals,Government - Federal,true,true,2,NULL,0,NULL,1,NULL,-1,NULL,-1,NULL,0,NULL,-1,NULL,1,NULL,POINT (-121.848823 37.363787)
140115,THOREK MEMORIAL HOSPITAL,850 W IRVING PARK RD,CHICAGO,IL,"AAA60613",COOK,(312) 525-6780,Acute Care Hospitals,Voluntary non-profit - Private,true,true,3,NULL,0,NULL,NULL,5,-1,NULL,0,NULL,0,NULL,1,NULL,NULL,5,POINT (-87.6508NULL 41.954556)
050608,DELANO REGIONAL MEDICAL CENTER,1401 GARCES HIGHWAY,DELANO,CA,"AAA93215",KERN,(661) 725-4800,Acute Care Hospitals,Proprietary,true,NULL,2,NULL,0,NULL,NULL,5,0,NULL,-1,NULL,0,NULL,0,NULL,-1,NULL,POINT (-119.238878 35.761418)
370220,ONECORE HEALTH,"1044 SW 44TH, SUITE 350",OKLAHOMA CITY,OK,"AAA73109",OKLAHOMA,(405) 631-3085,Acute Care Hospitals,Voluntary non-profit - Other,true,NULL,NULL,16,NULL,16,NULL,5,NULL,5,NULL,16,NULL,5,NULL,16,NULL,5,POINT (-97.533868 35.420729)
220066,MERCY MEDICAL CTR,271 CAREW STREET,SPRINGFIELD,MA,"AAA01104",HAMPDEN,(413) 748-9000,Acute Care Hospitals,Voluntary non-profit - Private,true,true,2,NULL,0,NULL,0,NULL,-1,NULL,0,NULL,0,NULL,-1,NULL,0,NULL,POINT (-72.595442 42.115878)
230029,ST JOSEPH MERCY OAKLAND,44405 WOODWARD AVE,PONTIAC,MI,"AAA48341",OAKLAND,(248) 858-3000,Acute Care Hospitals,Voluntary non-profit - Private,true,true,3,NULL,1,NULL,1,NULL,-1,NULL,-1,NULL,0,NULL,-1,NULL,0,NULL,POINT (-83.2751 42.614943)
450730,BAYLOR SCOTT AND WHITE MEDICAL CENTER CARROLLTON,4343 NORTH JOSEY LANE,CARROLLTON,TX,"AAA75010",DENTON,(972) 394-2255,Acute Care Hospitals,Proprietary,false,true,3,NULL,0,NULL,0,NULL,-1,NULL,-1,NULL,0,NULL,1,NULL,0,NULL,POINT (-96.88395 33.028966)
230054,UP HEALTH SYSTEM - MARQUETTE,850 W BARAGA AVE,MARQUETTE,MI,"AAA49855",MARQUETTE,(906) 228-9440,Acute Care Hospitals,Government - Local,true,true,2,NULL,-1,NULL,1,NULL,1,NULL,-1,NULL,0,NULL,-1,NULL,-1,NULL,POINT (-87.411036 46.543081)
310051,OVERLOOK MEDICAL CENTER,NULL BEAUVOIR AVENUE,SUMMIT,NJ,"AAA07902",UNION,(908) 522-2000,Acute Care Hospitals,Voluntary non-profit - Other,true,true,4,NULL,0,NULL,1,NULL,1,NULL,-1,NULL,0,NULL,-1,NULL,1,NULL,POINT (-74.354023 40.71241)
251313,BAPTIST MEDICAL CENTER-YAZOO,823 GRAND AVENUE,YAZOO CITY,MS,"AAA39194",YAZOO,(662) 746-2261,Critical Access Hospitals,Voluntary non-profit - Private,true,true,4,NULL,0,NULL,NULL,16,0,NULL,NULL,16,NULL,5,1,NULL,0,NULL,POINT (-90.403321 32.85873)
490101,INOVA FAIR OAKS HOSPITAL,3600 JOSEPH SIEWICK DRIVE,FAIRFAX,VA,"AAA22033",FAIRFAX,(703) 391-4170,Acute Care Hospitals,Voluntary non-profit - Other,false,true,5,NULL,0,NULL,1,NULL,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,POINT (-77.3824NULL 38.882234)
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,NULL559,BETHEL,(907) 543-6300,Acute Care Hospitals,Tribal,true,true,3,17,0,NULL,NULL,5,1,NULL,-1,NULL,0,NULL,NULL,5,NULL,16
194044,VERMILION BEHAVIORAL HEALTH SYSTEMS,2520 N UNIVERSITY AVENUE,LAFAYETTE,LA,"AAA70507",LAFAYETTE,(337) 234-5614,Psychiatric,Proprietary,false,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-92.047095 30.27139)
110032,STEPHENS COUNTY HOSPITAL,163 HOSPITAL DRIVE,TOCCOA,GA,"AAA30577",STEPHENS,(706) 282-4250,Acute Care Hospitals,Government - Hospital District or Authority,true,true,3,NULL,0,NULL,0,NULL,-1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,POINT (-83.347172 34.59302)
390324,PHYSICIAN'S CARE SURGICAL HOSPITAL,454 ENTERPRISE DRIVE,ROYERSFORD,PA,"AAA19468",MONTGOMERY,(610) 495-4793,Acute Care Hospitals,Physician,false,true,NULL,16,NULL,16,NULL,5,NULL,5,1,NULL,NULL,5,NULL,16,NULL,16,POINT (-75.553707 40.216786)
170068,SOUTHWEST MEDICAL CENTER,315 WEST 15TH STREET,LIBERAL,KS,"AAA67901",SEWARD,(620) 629-6291,Acute Care Hospitals,Government - Local,true,true,2,NULL,0,NULL,-1,NULL,0,NULL,0,NULL,0,NULL,1,NULL,0,NULL,POINT (-100.926569 37.054216)
400044,SAN LUKE'S MEMORIAL HOSPITAL INC,TITO CASTRO AVE #917,PONCE,PR,"AAA00733",PONCE,(787) 844-2080,Acute Care Hospitals,Voluntary non-profit - Church,true,true,2,17,0,NULL,0,NULL,-1,NULL,NULL,16,NULL,5,NULL,5,NULL,16
241320,RIVERVIEW HOSPITAL,323 SOUTH MINNESOTA,CROOKSTON,MN,"AAA56716",POLK,(218) 281-9200,Critical Access Hospitals,Voluntary non-profit - Private,true,true,4,NULL,NULL,5,NULL,5,0,NULL,1,NULL,NULL,5,1,NULL,0,NULL,POINT (-96.618106 47.772083)
250081,ANDERSON RMC SOUTH,1102 CONSTITUTION AVENUE,MERIDIAN,MS,"AAA39301",LAUDERDALE,(601) 484-3590,Acute Care Hospitals,Proprietary,true,NULL,NULL,16,NULL,16,NULL,5,NULL,16,NULL,16,NULL,16,NULL,16,NULL,16,POINT (-88.6NULL315 32.36779)
250136,MERIT HEALTH WOMEN'S HOSPITAL,1026 RIVER OAKS DRIVE,FLOWOOD,MS,"AAA39232",RANKIN,(601) 932-1000,Acute Care Hospitals,Proprietary,false,true,NULL,16,NULL,16,0,NULL,NULL,16,0,NULL,NULL,5,NULL,16,NULL,16,POINT (-90.106656 32.32583)
440065,NORTHCREST MEDICAL CENTER,100 NORTHCREST DRIVE,SPRINGFIELD,TN,"AAA37172",ROBERTSON,(615) 384-2411,Acute Care Hospitals,Voluntary non-profit - Other,true,NULL,2,NULL,0,NULL,-1,NULL,0,NULL,1,NULL,0,NULL,0,NULL,0,NULL,POINT (-86.888898 36.479518)
264031,OSAGE BEACH CENTER FOR COGNITIVE DISORDERS,840 PASSOVER ROAD,OSAGE BEACH,MO,"AAA65065",CAMDEN,(573) 302-0319,Psychiatric,Proprietary,false,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-92.630156 38.134877)
251335,JOHN C STENNIS MEMORIAL HOSPITAL,14365 HIGHWAY 16 WEST,DE KALB,MS,"AAA39328",KEMPER,(769) 486-1000,Critical Access Hospitals,Voluntary non-profit - Private,true,true,NULL,16,NULL,5,NULL,16,0,NULL,NULL,16,NULL,16,1,NULL,NULL,5,POINT (-88.679122 32.776819)
394001,NORRISTOWN STATE HOSPITAL,1001 STERIGERE STREET,NORRISTOWN,PA,"AAA19401",MONTGOMERY,(610) 313-1000,Psychiatric,Government - State,false,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-75.348612 40.129411)
170198,"SUMMIT SURGICAL, LLC",1818 EAST 23RD AVENUE,HUTCHINSON,KS,"AAA67502",RENO,(620) 662-6000,Acute Care Hospitals,Physician,false,NULL,NULL,16,NULL,16,NULL,5,NULL,5,NULL,16,NULL,5,NULL,16,NULL,16,POINT (-97.888595 38.07953)
281327,COZAD COMMUNITY HOSPITAL,"P O BOX 108, 300 EAST 12TH ST",COZAD,NE,"AAA69130",DAWSON,(308) 784-2261,Critical Access Hospitals,Government - Hospital District or Authority,true,NULL,NULL,16,NULL,5,NULL,16,0,NULL,NULL,16,NULL,16,1,NULL,NULL,16
060071,DELTA COUNTY MEMORIAL HOSPITAL,1501 E 3RD ST,DELTA,CO,"AAA81416",DELTA,(970) 874-7681,Acute Care Hospitals,Government - Local,true,true,4,NULL,0,NULL,1,NULL,1,NULL,0,NULL,0,NULL,1,NULL,-1,NULL,POINT (-108.047515 38.743166)
670122,HOUSTON METHODIST THE WOODLANDS HOSPITAL,17201 INTERSTATE 45 SOUTH,THE WOODLANDS,TX,"AAA77385",MONTGOMERY,(936) 270-2000,Acute Care Hospitals,Voluntary non-profit - Private,true,true,4,NULL,0,NULL,0,NULL,-1,NULL,1,NULL,0,NULL,0,NULL,-1,NULL,POINT (-95.45551 30.204697)
180012,HARDIN MEMORIAL HOSPITAL,913 NORTH DIXIE AVENUE,ELIZABETHTOWN,KY,"AAA42701",HARDIN,(270) 737-1212,Acute Care Hospitals,Government - Local,true,true,4,NULL,1,NULL,-1,NULL,1,NULL,1,NULL,-1,NULL,-1,NULL,0,NULL,POINT (-85.875048 37.70NULL17)
231305,ASCENSION STANDISH HOSPITAL,805 W CEDAR ST,STANDISH,MI,"AAA48658",ARENAC,(517) 846-4521,Critical Access Hospitals,Voluntary non-profit - Church,true,true,5,NULL,0,NULL,NULL,16,0,NULL,1,NULL,0,NULL,1,NULL,0,NULL,POINT (-83.969352 43.98283)
191313,RIVERSIDE MEDICAL CENTER,1900 SOUTH MAIN ST,FRANKLINTON,LA,"AAA70438",WASHINGTON,(985) 795-4431,Critical Access Hospitals,Government - Hospital District or Authority,true,NULL,2,NULL,0,NULL,NULL,16,-1,NULL,NULL,16,NULL,5,NULL,5,0,NULL,POINT (-90.151979 30.835132)
360076,ATRIUM MEDICAL CENTER,ONE MEDICAL CENTER DRIVE,FRANKLIN,OH,"AAA45005",WARREN,(513) 420-5102,Acute Care Hospitals,Voluntary non-profit - Private,true,true,4,NULL,0,NULL,0,NULL,1,NULL,0,NULL,1,NULL,0,NULL,0,NULL
420049,CONWAY MEDICAL CENTER,300 SINGLETON RIDGE ROAD,CONWAY,SC,"AAA29526",HORRY,(843) 347-8037,Acute Care Hospitals,Voluntary non-profit - Private,true,NULL,3,NULL,-1,NULL,1,NULL,-1,NULL,0,NULL,0,NULL,1,NULL,0,NULL,POINT (-79.002854 33.786524)
261336,IRON COUNTY MEDICAL CENTER,301 NORTH HIGHWAY 21,PILOT KNOB,MO,"AAA63663",IRON,(573) 546-1260,Critical Access Hospitals,Government - Hospital District or Authority,true,true,NULL,16,NULL,16,NULL,16,NULL,16,NULL,16,NULL,5,NULL,5,NULL,5,POINT (-90.62919 37.608757)
670023,METHODIST MANSFIELD MEDICAL CENTER,2700 E BROAD STREET,MANSFIELD,TX,"AAA76063",TARRANT,(682) 622-2059,Acute Care Hospitals,Voluntary non-profit - Private,true,true,5,NULL,0,NULL,1,NULL,1,NULL,1,NULL,0,NULL,0,NULL,0,NULL,POINT (-97.095641 32.569228)
500148,CONFLUENCE HEALTH- WENATCHEE VALLEY HOSP & CLINICS,820 NORTH CHELAN AVENUE,WENATCHEE,WA,"AAA98801",CHELAN,(509) 663-8711,Acute Care Hospitals,Voluntary non-profit - Private,false,NULL,NULL,16,NULL,16,NULL,5,NULL,5,1,NULL,0,NULL,NULL,16,0,NULL,POINT (-120.321983 47.433566)
190102,"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",4801 AMBASSADOR CAFFERY PARKWAY,LAFAYETTE,LA,"AAA70508",LAFAYETTE,(337) 470-2100,Acute Care Hospitals,Voluntary non-profit - Private,true,true,2,NULL,0,NULL,-1,NULL,1,NULL,1,NULL,-1,NULL,0,NULL,-1,NULL,POINT (-92.040447 30.150001)
160147,GRINNELL REGIONAL MEDICAL CENTER,210 FOURTH AVENUE,GRINNELL,IA,"AAA50112",POWESHIEK,(641) 236-7511,Acute Care Hospitals,Voluntary non-profit - Private,true,NULL,4,NULL,0,NULL,NULL,5,0,NULL,1,NULL,0,NULL,1,NULL,NULL,5,POINT (-92.734728 41.743278)
520037,MARSHFIELD MEDICAL CENTER,611 ST JOSEPH AVE,MARSHFIELD,WI,"AAA54449",WOOD,(715) 387-7850,Acute Care Hospitals,Voluntary non-profit - Church,true,true,3,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
340168,WILMINGTON TREATMENT CENTER,2520 TROY DRIVE,WILMINGTON,NC,"AAA28401",NEW HANOVER,(910) 762-2727,Acute Care Hospitals,Voluntary non-profit - Private,false,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-77.928549 34.1949)
490126,LEWISGALE HOSPITAL ALLEGHANY,ONE ARH LANE - PO BOX 7,LOW MOOR,VA,"AAA24457",ALLEGHANY,(540) 862-6011,Acute Care Hospitals,Voluntary non-profit - Private,true,true,4,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1,NULL,0,NULL
371319,MARY HURLEY HOSPITAL,6 NORTH COVINGTON,COALGATE,OK,"AAA74538",COAL,(580) 927-2327,Critical Access Hospitals,Proprietary,true,NULL,NULL,16,0,NULL,NULL,16,1,NULL,NULL,16,NULL,16,NULL,16,NULL,5,POINT (-96.224287 34.539222)
110002,UPSON REGIONAL MEDICAL CENTER,801 W GORDON STREET,THOMASTON,GA,"AAA30286",UPSON,(706) 647-8111,Acute Care Hospitals,Voluntary non-profit - Other,true,true,2,NULL,-1,NULL,0,NULL,-1,NULL,0,NULL,0,NULL,-1,NULL,0,NULL,POINT (-84.336109 32.887252)
170023,ST CATHERINE HOSPITAL,401 EAST SPRUCE,GARDEN CITY,KS,"AAA67846",FINNEY,(620) 272-2222,Acute Care Hospitals,Voluntary non-profit - Private,true,true,1,NULL,0,NULL,-1,NULL,-1,NULL,-1,NULL,-1,NULL,1,NULL,-1,NULL,POINT (-100.868615 37.968871)
070029,BRISTOL HOSPITAL,BREWSTER RD,BRISTOL,CT,"AAA06010",HARTFORD,(860) 585-3000,Acute Care Hospitals,Voluntary non-profit - Private,true,true,3,NULL,0,NULL,1,NULL,-1,NULL,0,NULL,0,NULL,0,NULL,0,NULL
310024,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY,865 STONE ST,RAHWAY,NJ,"AAA07065",UNION,(732) 381-4200,Acute Care Hospitals,Voluntary non-profit - Private,true,true,2,NULL,-1,NULL,0,NULL,-1,NULL,-1,NULL,0,NULL,-1,NULL,0,NULL,POINT (-74.291688 40.612237)
110018,PIEDMONT NEWTON HOSPITAL,5126 HOSPITAL DRIVE NE,COVINGTON,GA,"AAA30014",NEWTON,(770) 786-7053,Acute Care Hospitals,Voluntary non-profit - Private,true,true,2,NULL,0,NULL,1,NULL,-1,NULL,-1,NULL,0,NULL,-1,NULL,0,NULL,POINT (-83.848082 33.602673)
364036,ARROWHEAD BEHAVIORAL HEALTH,1725 TIMBER LINE ROAD,MAUMEE,OH,"AAA43537",LUCAS,(419) 891-9333,Psychiatric,Proprietary,false,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-83.687356 41.589427)
111320,HIGGINS GENERAL HOSPITAL,200 ALLEN MEMORIAL DRIVE,BREMEN,GA,"AAA30110",HARALSON,(770) 812-2000,Critical Access Hospitals,Government - Hospital District or Authority,true,true,4,NULL,NULL,5,NULL,5,0,NULL,1,NULL,0,NULL,0,NULL,NULL,5,POINT (-85.144623 33.716343)
140029,RUSH COPLEY MEDICAL CENTER,2000 OGDEN AVENUE,AURORA,IL,"AAA60504",KANE,(630) 978-6200,Acute Care Hospitals,Voluntary non-profit - Private,true,NULL,4,NULL,0,NULL,1,NULL,-1,NULL,1,NULL,0,NULL,0,NULL,0,NULL,POINT (-88.268415 41.727722)
240038,UNITED HOSPITAL,333 NORTH SMITH AVENUE,SAINT PAUL,MN,"AAA55102",RAMSEY,(651) 241-8810,Acute Care Hospitals,Voluntary non-profit - Private,true,true,4,NULL,0,NULL,1,NULL,-1,NULL,1,NULL,0,NULL,0,NULL,0,NULL,POINT (-93.108302 44.94185)
521337,ST CROIX REGIONAL MEDICAL CENTER,235 STATE STREET,SAINT CROIX FALLS,WI,"AAA54024",POLK,(715) 483-0556,Critical Access Hospitals,Voluntary non-profit - Private,true,NULL,4,NULL,0,NULL,NULL,5,0,NULL,1,NULL,0,NULL,NULL,5,0,NULL,POINT (-92.642218 45.409134)
260009,BOTHWELL REGIONAL HEALTH CENTER,601 E 14TH ST,SEDALIA,MO,"AAA65302",PETTIS,(660) 826-8833,Acute Care Hospitals,Government - Local,true,true,3,NULL,0,NULL,1,NULL,1,NULL,-1,NULL,0,NULL,0,NULL,0,NULL,POINT (-93.222089 38.6NULL051)
504008,LOURDES COUNSELING CENTER,1175 CARONDELET DRIVE,RICHLAND,WA,NULL352,BENTON,(509) 943-9104,Psychiatric,Voluntary non-profit - Private,false,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-119.2808NULL 46.283956)
250049,BEACHAM MEMORIAL HOSPITAL,205 N CHERRY STREET,MAGNOLIA,MS,"AAA39652",PIKE,(601) 783-2353,Acute Care Hospitals,Proprietary,false,true,NULL,16,0,NULL,NULL,5,1,NULL,NULL,16,NULL,5,NULL,16,NULL,16,POINT (-90.45929 31.145626)
374023,CEDAR RIDGE BEHAVIORAL HOSPITAL,6501 NORTHEAST 50TH STREET,OKLAHOMA CITY,OK,"AAA73141",OKLAHOMA,(405) 605-6111,Psychiatric,Proprietary,false,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-97.413118 35.522254)
050070,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,1200 EL CAMINO REAL,SOUTH SAN FRANCISCO,CA,"AAA94080",SAN MATEO,(650) 742-3200,Acute Care Hospitals,Voluntary non-profit - Private,true,true,NULL,16,NULL,16,0,NULL,NULL,5,0,NULL,NULL,5,NULL,5,NULL,16,POINT (-122.439205 37.658376)
3700NULL,HILLCREST HOSPITAL CUSHING,1027 EAST CHERRY STREET,CUSHING,OK,"AAA74023",PAYNE,(918) 225-2915,Acute Care Hospitals,Proprietary,true,NULL,3,NULL,0,NULL,NULL,5,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,POINT (-96.757473 35.978942)
260095,CENTERPOINT MEDICAL CENTER,19600 EAST 39TH STREET,INDEPENDENCE,MO,"AAA64057",JACKSON,(816) 698-7000,Acute Care Hospitals,Proprietary,true,true,2,NULL,0,NULL,1,NULL,-1,NULL,0,NULL,0,NULL,-1,NULL,0,NULL,POINT (-94.349313 39.047771)
490112,CJW MEDICAL CENTER,7101 JAHNKE ROAD,RICHMOND,VA,"AAA23235",CHESTERFIELD,(804) 320-3911,Acute Care Hospitals,Proprietary,true,true,2,NULL,0,NULL,-1,NULL,-1,NULL,-1,NULL,1,NULL,0,NULL,0,NULL,POINT (-77.52488 37.515832)
